item_id,country,sentence,annotator_1_label,annotator_2_label,annotator_4_label,n_annotators,n_valid_labels,majority_label,majority_count,agreement_share,full_agreement,model_label_reference,reference_label,majority_matches_reference
S01,Canada,"Its generative Al tool, AgPal Chat, helps users find relevant funding and resources faster, supporting the sustainable growth and competitiveness of the sector.",Neutral,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S02,China,China’s R&D expenditure is approaching that of the whole EU.” China’s Strengths Creates Innovation Miracles Good policy is like sunshine.,Innovation-oriented,Mixed,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S03,France,"for the adoption of AI by businesses), contractual relationships with private partners (e.g.",Unsure,Unsure,Unsure,3,3,Unsure,3,1.0,True,AI-friendly,Innovation-oriented,False
S04,Germany,"The Federal Government will therefore further expand its funding of applied research, development and testing of complex autonomous driving scenarios.",Innovation-oriented,Neutral,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S05,Italy,"In this sense, at least two sets of problems arise, upon which the space and competitiveness of Artificial Intelligence systems developed in Italy will depend.",Neutral,Unsure,Unsure,3,3,Unsure,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,False
S06,Japan,"In the field of Al, where basic research and social implementation are closely connected, the lack of progress in implementation has become a major bottleneck for Al development in Japan.",Neutral,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S07,United Kingdom,oxinote 3) Setting a short-term target to train tens of thousands of Al professionals by 2030 will help bridge the estimated gap between supply and demand.,Neutral,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S08,United States,"And they are essential for academic research, which often relies on access to the weights and training data of a model to perform scientifically rigorous experiments.",Neutral,Unsure,Neutral,3,3,Neutral,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,False
S09,Canada,Canadian Sovereign AI Compute Strategy Invests in public and commercial computing infrastructure to support the Canadian AI ecosystem and safeguard Canadian data and intellectual property.,Innovation-oriented,Innovation-oriented,Mixed,3,3,Innovation-oriented,2,0.6666666666666666,False,AI-friendly,Innovation-oriented,True
S10,China,"Innovation is “fl owing water”, making China’s seed of advanced ideas into towering trees.",Innovation-oriented,Innovation-oriented,Innovation-oriented,3,3,Innovation-oriented,3,1.0,True,AI-friendly,Innovation-oriented,True
S11,Canada,Respondents suggested regular ethical audits to ensure compliance with the guidelines and prevent harmful biases.,Risk-oriented,Risk-oriented,Risk-oriented,3,3,Risk-oriented,3,1.0,True,AI-cautious,Risk-oriented,True
S12,China,Improve the level of security capability.,Unsure,Risk-oriented,Unsure,3,3,Unsure,2,0.6666666666666666,False,AI-cautious,Risk-oriented,False
S13,France,Tailor-made treatment should be reserved for public procurement involving the processing of sensitive data.,Mixed,Risk-oriented,Risk-oriented,3,3,Risk-oriented,2,0.6666666666666666,False,AI-cautious,Risk-oriented,True
S14,Germany,It is also working to ensure that all stakeholders in the field of AI honour their individual responsibility to respect human rights.,Mixed,Risk-oriented,Risk-oriented,3,3,Risk-oriented,2,0.6666666666666666,False,AI-cautious,Risk-oriented,True
S15,Italy,"In particular, the Committee will take care to highlight the risks inherent to specific initiatives, guiding project choices towards approaches that ensure the safety and reliability of the solutions.",Risk-oriented,Risk-oriented,Risk-oriented,3,3,Risk-oriented,3,1.0,True,AI-cautious,Risk-oriented,True
