Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Canada,1995,69.4,90.0,90.0,,64.2,14.8,,85.0,,85.9,75.2,50,70
Canada,1996,70.3,90.0,90.0,,64.6,18.3,,85.0,,89.7,75.2,50,70
Canada,1997,67.9,90.0,89.0,,38.1,25.9,,85.0,,86.8,77.0,50,70
Canada,1998,68.5,90.0,90.0,,38.1,29.4,,85.0,,86.9,77.0,50,70
Canada,1999,69.3,90.0,91.0,,39.2,34.9,,85.0,,86.9,77.0,50,70
Canada,2000,70.5,90.0,92.0,,40.0,41.9,,85.0,,88.1,77.4,50,70
Canada,2001,71.2,90.0,92.0,,41.5,47.1,,85.0,,87.2,77.8,50,70
Canada,2002,74.6,90.0,92.0,,71.1,49.6,,85.0,,85.4,78.6,50,70
Canada,2003,74.8,90.0,89.0,,72.7,47.8,,85.0,,85.0,83.4,50,70
Canada,2004,75.3,90.0,90.0,,73.6,50.5,,85.0,,85.4,83.2,50,70
Canada,2005,75.8,90.0,87.0,,75.1,50.8,,85.0,82.2,84.7,82.8,50,70
Canada,2006,77.4,90.0,85.0,,75.3,53.4,,96.9,84.2,85.9,83.2,50,70
Canada,2007,78.0,90.0,84.0,,75.9,52.2,,96.8,82.5,80.7,88.2,60,70
Canada,2008,80.2,90.0,85.0,,75.5,53.7,,96.7,82.7,81.0,87.0,70,80
Canada,2009,80.5,90.0,87.0,,76.6,53.7,,96.5,81.9,80.8,88.2,70,80
Canada,2010,80.4,90.0,87.0,,76.7,54.1,,96.5,81.5,75.4,88.1,75,80
Canada,2011,80.8,90.0,87.0,,78.0,52.7,,96.4,81.7,78.8,88.1,75,80
Canada,2012,79.9,90.0,89.0,,79.2,41.7,,96.6,81.8,77.3,87.9,75,80
Canada,2013,79.4,90.0,87.0,,79.8,44.8,,91.7,82.3,75.2,88.2,75,80
Canada,2014,80.2,90.0,87.7,,79.7,47.3,,89.3,83.1,76.3,88.3,80,80
Canada,2015,79.1,90.0,81.0,,79.9,48.3,,89.0,76.1,77.9,88.4,80,80
Canada,2016,78.0,90.0,81.0,,80.0,50.4,,81.8,72.6,76.9,87.0,80,80
Canada,2017,78.5,88.3,81.6,80.8,77.4,52.3,80.3,81.9,73.1,77.8,88.4,80,80
Canada,2018,77.7,87.5,78.3,77.1,76.7,52.3,81.2,81.8,71.3,77.5,88.1,80,80
Canada,2019,77.7,87.0,84.6,69.4,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80,80
Canada,2020,78.2,87.7,90.3,72.7,76.5,50.9,83.3,81.7,72.0,76.0,87.0,80,80
Canada,2021,77.9,84.5,87.9,73.3,76.0,49.8,84.2,81.4,72.4,76.1,88.8,80,80
Canada,2022,76.6,89.5,86.7,96.4,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80,80
Canada,2023,73.7,88.5,95.1,83.1,75.0,35.0,32.2,87.9,69.0,74.8,83.4,80,80
Canada,2024,72.4,88.6,73.1,95.0,75.8,34.7,33.9,84.1,69.5,70.3,83.6,80,80
Canada,2025,75.5,89.0,85.4,95.6,74.8,44.6,78.0,84.6,69.4,71.5,83.2,60,70
Canada,2026,75.6,85.9,85.5,96.0,74.7,45.9,79.7,84.2,68.3,73.8,83.2,60,70
China,1995,52.0,30.0,30.0,,70.6,93.7,,55.0,,68.4,20.0,50,50
China,1996,51.3,30.0,30.0,,70.7,94.6,,55.0,,61.5,20.0,50,50
China,1997,51.7,30.0,22.0,,70.4,95.4,,55.0,,62.7,30.0,50,50
China,1998,53.1,30.0,24.0,,70.5,95.9,,55.0,,68.2,34.0,50,50
China,1999,54.8,30.0,29.0,,70.5,95.1,,55.0,,75.2,38.2,50,50
China,2000,56.4,30.0,35.0,,70.4,90.3,,55.0,,84.0,42.6,50,50
China,2001,52.6,30.0,34.0,,70.4,94.1,,55.0,,84.1,46.0,30,30
China,2002,52.8,30.0,31.0,,70.3,92.3,,55.0,,87.6,48.6,30,30
China,2003,52.6,30.0,35.0,,66.9,90.2,,55.0,,85.8,50.6,30,30
China,2004,52.5,30.0,35.0,,66.4,88.4,,55.0,,86.4,51.4,30,30
China,2005,53.7,30.0,34.0,,67.9,86.0,,55.0,65.0,84.8,54.4,30,30
China,2006,53.6,30.0,34.0,,70.0,86.0,,43.1,65.2,79.4,68.0,30,30
China,2007,52.0,20.0,32.0,,66.6,87.0,,46.9,64.2,75.5,68.0,30,30
China,2008,53.1,20.0,33.0,,66.4,89.7,,50.3,64.8,76.5,70.2,30,30
China,2009,53.2,20.0,35.0,,70.6,88.9,,51.6,61.8,72.9,71.4,30,30
China,2010,51.0,20.0,36.0,,70.2,88.1,,49.7,53.2,70.6,72.2,20,30
China,2011,52.0,20.0,36.0,,70.3,87.0,,49.8,54.9,75.3,71.6,25,30
China,2012,51.2,20.0,35.0,,70.4,84.1,,46.4,55.4,74.2,71.6,25,30
