item_id,country,sentence,model_label_reference
S01,Canada,"Its generative Al tool, AgPal Chat, helps users find relevant funding and resources faster, supporting the sustainable growth and competitiveness of the sector.",AI-friendly
S02,China,China’s R&D expenditure is approaching that of the whole EU.” China’s Strengths Creates Innovation Miracles Good policy is like sunshine.,AI-friendly
S03,France,"for the adoption of AI by businesses), contractual relationships with private partners (e.g.",AI-friendly
S04,Germany,"The Federal Government will therefore further expand its funding of applied research, development and testing of complex autonomous driving scenarios.",AI-friendly
S05,Italy,"In this sense, at least two sets of problems arise, upon which the space and competitiveness of Artificial Intelligence systems developed in Italy will depend.",AI-friendly
S06,Japan,"In the field of Al, where basic research and social implementation are closely connected, the lack of progress in implementation has become a major bottleneck for Al development in Japan.",AI-friendly
S07,United Kingdom,oxinote 3) Setting a short-term target to train tens of thousands of Al professionals by 2030 will help bridge the estimated gap between supply and demand.,AI-friendly
S08,United States,"And they are essential for academic research, which often relies on access to the weights and training data of a model to perform scientifically rigorous experiments.",AI-friendly
S09,Canada,Canadian Sovereign AI Compute Strategy Invests in public and commercial computing infrastructure to support the Canadian AI ecosystem and safeguard Canadian data and intellectual property.,AI-friendly
S10,China,"Innovation is “fl owing water”, making China’s seed of advanced ideas into towering trees.",AI-friendly
S11,Canada,Respondents suggested regular ethical audits to ensure compliance with the guidelines and prevent harmful biases.,AI-cautious
S12,China,Improve the level of security capability.,AI-cautious
S13,France,Tailor-made treatment should be reserved for public procurement involving the processing of sensitive data.,AI-cautious
S14,Germany,It is also working to ensure that all stakeholders in the field of AI honour their individual responsibility to respect human rights.,AI-cautious
S15,Italy,"In particular, the Committee will take care to highlight the risks inherent to specific initiatives, guiding project choices towards approaches that ensure the safety and reliability of the solutions.",AI-cautious
S16,Japan,"[Reposted] [Cabinet Office] (ii) Regarding the location and scope of civil liability when accidents or damages occur in Al utilization, consider appropriate framework.",AI-cautious
S17,United Kingdom,"Strategically shape what data is collected, rather than just making data available that already exists.",AI-cautious
S18,United States,Align Protection Measures Globally America must impose strong export controls on sensitive technologies.,AI-cautious
S19,Canada,"Some law or policy is silent on areas needed to govern AI, while others may introduce unintended bias in data collection or obstruct AI adoption unnecessarily and unintentionally.",AI-cautious
S20,China,"Improving AI laws, regulations, ethical guidelines, etc., and promoting legislation related to the development of AI health.",AI-cautious
S21,Canada,"While the adoption of Al for its innovative applications is becoming the emerging norm worldwide, we must ensure its responsible use by assessing and mitigating the risks.",mixed
S22,China,(V) Developing AI + Developing Governance 1.,mixed
S23,France,Observers particularly criticize the schizophrenia that may exist in the European AI strategy between the promotion of frugality objectives and the launch of AI giga-factory programmes.,mixed
S24,Germany,They include principles for responsible stewardship of trustworthy AI and policy and cooperation recommendations.,mixed
S25,Italy,"The development of AI technologies has had, and will increasingly have in the near future, rapid rates that will open up opportunities and changes that need to be well-managed.",mixed
S26,Japan,(Toward Becoming “the most Al-friendly country in the world”) Japan has pursued Al strategy through promoting innovation while mitigating risks.,mixed
S27,United Kingdom,"Prioritisation should consider the potential economic and social value of the data, as well as public trust, national security, privacy, ethics, and data protection considerations.",mixed
S28,United States,"AI systems are becoming essential tools, profoundly shaping how Americans consume information, but these tools must also be trustworthy.",mixed
S29,Canada,We encourage all federal organizations to embrace AI responsibly to meet the expectations of all Canadians for secure and modern government operations in the digital age.,mixed
S30,France,"The company’s AI-first approach, from infrastructure design to sustainability measures, will strengthen Europe’s AI capabilities while maintaining strict EU data sovereignty.",mixed
S31,Canada,It will also continue to engage all departments on action implementation to ensure horizontal alignment.,neutral
S32,China,"national technical contract transaction volume The national R&D expenditure reached 1 , 5 4 4 b i l l i o n y u a n , accounting for 2 .",neutral
S33,France, The public reports of the Court of Auditors are available online on the website of the Court and the regional and territorial chambers of accounts: www.ccomptes.fr.,neutral
S34,Germany,The data strategy will address the issues of data availability and -infrastructures.,neutral
S35,Italy,"It is an opportune moment to reflect on oneself, to embrace change, and to shape the future with an awareness of our own distinctive identities and potentials.",neutral
S36,Japan,"130 of 1995)) and the Priority Plan for the Formation of a Digital Society (under Article 39, paragraph (1) of the Basic Act on the Formation of a Digital Society (Act No.",neutral
S37,United Kingdom,"My judgement is that experts, on balance, expect rapid progress to continue.",neutral
S38,United States,"These agencies could then provide analysis of AI adoption, job creation, displacement, and wage effects.",neutral
S39,Canada,"Although Canada is a global leader in AI research, demand for AI skills significantly outpaces supply.",neutral
S40,China,"Improve the dynamic perception of space and sea integration and the level of domestic space intelligence planning, strengthen the resource elements and optimize the allocation.",neutral
