Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
https://economicfreedom.heritage.org

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Canada,2026,75.6,85.9,85.5,96,74.7,45.9,79.7,84.2,68.3,73.8,83.2,60,70
Canada,2025,75.5,89,85.4,95.6,74.8,44.6,78,84.6,69.4,71.5,83.2,60,70
Canada,2024,72.4,88.6,73.1,95,75.8,34.7,33.9,84.1,69.5,70.3,83.6,80,80
Canada,2023,73.7,88.5,95.1,83.1,75,35,32.2,87.9,69,74.8,83.4,80,80
Canada,2022,76.6,89.5,86.7,96.4,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80,80
Canada,2021,77.9,84.5,87.9,73.3,76,49.8,84.2,81.4,72.4,76.1,88.8,80,80
Canada,2020,78.2,87.7,90.3,72.7,76.5,50.9,83.3,81.7,72,76,87,80,80
Canada,2019,77.7,87,84.6,69.4,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80,80
Canada,2018,77.7,87.5,78.3,77.1,76.7,52.3,81.2,81.8,71.3,77.5,88.1,80,80
Canada,2017,78.5,88.3,81.6,80.8,77.4,52.3,80.3,81.9,73.1,77.8,88.4,80,80
Canada,2016,78,90,81,N/A,80,50.4,N/A,81.8,72.6,76.9,87,80,80
Canada,2015,79.1,90,81,N/A,79.9,48.3,N/A,89,76.1,77.9,88.4,80,80
Canada,2014,80.2,90,87.7,N/A,79.7,47.3,N/A,89.3,83.1,76.3,88.3,80,80
Canada,2013,79.4,90,87,N/A,79.8,44.8,N/A,91.7,82.3,75.2,88.2,75,80
Canada,2012,79.9,90,89,N/A,79.2,41.7,N/A,96.6,81.8,77.3,87.9,75,80
Canada,2011,80.8,90,87,N/A,78,52.7,N/A,96.4,81.7,78.8,88.1,75,80
Canada,2010,80.4,90,87,N/A,76.7,54.1,N/A,96.5,81.5,75.4,88.1,75,80
Canada,2009,80.5,90,87,N/A,76.6,53.7,N/A,96.5,81.9,80.8,88.2,70,80
Canada,2008,80.2,90,85,N/A,75.5,53.7,N/A,96.7,82.7,81,87,70,80
Canada,2007,78,90,84,N/A,75.9,52.2,N/A,96.8,82.5,80.7,88.2,60,70
Canada,2006,77.4,90,85,N/A,75.3,53.4,N/A,96.9,84.2,85.9,83.2,50,70
Canada,2005,75.8,90,87,N/A,75.1,50.8,N/A,85,82.2,84.7,82.8,50,70
Canada,2004,75.3,90,90,N/A,73.6,50.5,N/A,85,N/A,85.4,83.2,50,70
Canada,2003,74.8,90,89,N/A,72.7,47.8,N/A,85,N/A,85,83.4,50,70
Canada,2002,74.6,90,92,N/A,71.1,49.6,N/A,85,N/A,85.4,78.6,50,70
Canada,2001,71.2,90,92,N/A,41.5,47.1,N/A,85,N/A,87.2,77.8,50,70
Canada,2000,70.5,90,92,N/A,40,41.9,N/A,85,N/A,88.1,77.4,50,70
Canada,1999,69.3,90,91,N/A,39.2,34.9,N/A,85,N/A,86.9,77,50,70
Canada,1998,68.5,90,90,N/A,38.1,29.4,N/A,85,N/A,86.9,77,50,70
Canada,1997,67.9,90,89,N/A,38.1,25.9,N/A,85,N/A,86.8,77,50,70
Canada,1996,70.3,90,90,N/A,64.6,18.3,N/A,85,N/A,89.7,75.2,50,70
Canada,1995,69.4,90,90,N/A,64.2,14.8,N/A,85,N/A,85.9,75.2,50,70
