Country,Framing,Category,Rule,Weight,Matched text,Sentence
United States,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,ecosystem,Whoever has the largest AI ecosystem will set global AI standards and reap broad economic and military benefits.
United States,AI-friendly,deregulatory or flexible governance,reduce regulatory burdens,2.5,Removing Barriers,"President Trump took decisive steps toward achieving this goal during his first days in office by signing Executive Order 14179, “Removing Barriers to American Leadership in Artificial Intelligence,” calling for America to retain dominance in this global race and directing the creation of an AI Action Plan."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Leadership,"President Trump took decisive steps toward achieving this goal during his first days in office by signing Executive Order 14179, “Removing Barriers to American Leadership in Artificial Intelligence,” calling for America to retain dominance in this global race and directing the creation of an AI Action Plan."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,competitiveness,"1 Winning the AI race will usher in a new golden age of human flourishing, economic competitiveness, and national security for the American people."
United States,AI-friendly,deregulatory or flexible governance,anti-overregulation context,2.4,regulatory barriers that hinder,"The United States needs to innovate faster and more comprehensively than our competitors in the development and distribution of new AI technology across every field, and dismantle unnecessary regulatory barriers that hinder the private sector in doing so."
United States,AI-friendly,deregulatory or flexible governance,anti-overregulation context,2.4,restricting AI development with onerous regulation “would not only unfairly benefit incumbents… it would mean paralyzing,"As Vice President Vance remarked at the Paris AI Action Summit in February, restricting AI development with onerous regulation “would not only unfairly benefit incumbents… it would mean paralyzing one of the most promising technologies we have seen in generations.” 2 That is why President Trump rescinded the Biden Administration’s dangerous actions on day one."
United States,AI-friendly,deregulatory or flexible governance,reduce regulatory burdens,2.5,Removing Barriers,"And the 1 2 Executive Order 14179 of January 23, 2025, “Removing Barriers to American Leadership in Artificial Intelligence,” Federal Register 90 (20) 8741, www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Leadership,"And the 1 2 Executive Order 14179 of January 23, 2025, “Removing Barriers to American Leadership in Artificial Intelligence,” Federal Register 90 (20) 8741, www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf."
United States,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,bias,"Second, our AI systems must be free from ideological bias and be designed to pursue objective truth rather than social engineering agendas when users seek factual information or analysis."
United States,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,trustworthy,"AI systems are becoming essential tools, profoundly shaping how Americans consume information, but these tools must also be trustworthy."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risks,"Finally, we must prevent our advanced technologies from being misused or stolen by malicious actors as well as monitor for emerging and unforeseen risks from AI."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Accelerate AI Innovation America must have the most powerful AI,"Rubio Assistant to the President for National Security Affairs 2 AMERICA’S AI ACTION PLAN Pillar I: Accelerate AI Innovation America must have the most powerful AI systems in the world, but we must also lead the world in creative and transformative application of these systems."
United States,AI-friendly,deregulatory or flexible governance,reduce regulatory burdens,2.5,Remove Red Tape and Onerous Regulation,"Remove Red Tape and Onerous Regulation To maintain global leadership in AI, America’s private sector must be unencumbered by bureaucratic red tape."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,leadership,"Remove Red Tape and Onerous Regulation To maintain global leadership in AI, America’s private sector must be unencumbered by bureaucratic red tape."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"The Federal government should not allow AI-related Federal funding to be directed toward states with burdensome AI regulations that waste these funds, but should also not interfere with states’ rights to pass prudent laws that are not unduly restrictive to innovation."
United States,AI-cautious,regulation as necessary,regulation required or necessary,2.5,should also not interfere with states’ rights to pass prudent laws,"The Federal government should not allow AI-related Federal funding to be directed toward states with burdensome AI regulations that waste these funds, but should also not interfere with states’ rights to pass prudent laws that are not unduly restrictive to innovation."
